user,name,hours,hours_rating
5250,Alien Swarm,4.9,2.0
5250,Cities Skylines,144.0,5.0
5250,Deus Ex Human Revolution,62.0,5.0
5250,Portal 2,13.6,4.0
76767,Age of Empires II HD Edition,13.1,4.0
76767,Banished,24.0,4.0
76767,Call of Duty Black Ops,22.0,4.0
76767,Call of Duty Black Ops - Multiplayer,12.5,4.0
76767,Call of Duty Modern Warfare 2,65.0,5.0
76767,Call of Duty Modern Warfare 2 - Multiplayer,165.0,5.0
76767,Call of Duty Modern Warfare 3,15.9,4.0
76767,Call of Duty Modern Warfare 3 - Multiplayer,9.7,3.0
76767,Call of Duty World at War,271.0,5.0
76767,Counter-Strike,365.0,5.0
76767,Counter-Strike Global Offensive,3.5,1.0
76767,Counter-Strike Source,25.0,5.0
76767,Portal 2,15.0,4.0
86540,Far Cry 3,17.8,4.0
86540,Left 4 Dead 2,16.4,4.0
86540,The Elder Scrolls V Skyrim,113.0,5.0
86540,Torchlight II,3.6,1.0
86540,XCOM Enemy Unknown,37.0,5.0
229911,Call of Duty Black Ops,8.1,3.0
229911,Call of Duty Black Ops - Multiplayer,2.8,1.0
229911,Call of Duty Modern Warfare 2,44.0,5.0
229911,Call of Duty Modern Warfare 2 - Multiplayer,109.0,5.0
229911,Counter-Strike,45.0,5.0
229911,Counter-Strike Condition Zero,165.0,5.0
229911,Half-Life 2 Episode One,3.6,1.0
229911,Half-Life 2 Episode Two,5.5,2.0
298950,7 Days to Die,14.3,4.0
298950,ARK Survival Evolved,41.0,5.0
298950,Amnesia The Dark Descent,7.0,2.0
298950,Batman Arkham Origins,15.2,4.0
298950,BioShock Infinite,21.0,4.0
298950,Borderlands,8.3,3.0
298950,Borderlands 2,78.0,5.0
298950,Castle Crashers,2.9,1.0
298950,Chivalry Medieval Warfare,10.2,3.0
298950,Counter-Strike Global Offensive,544.0,5.0
298950,DARK SOULS II,62.0,5.0
298950,Dark Souls Prepare to Die Edition,49.0,5.0
298950,Darksiders II,22.0,4.0
298950,Dead Island,19.2,4.0
298950,Deus Ex Human Revolution,28.0,5.0
298950,Dishonored,27.0,5.0
298950,Divinity Original Sin,65.0,5.0
298950,Don't Starve,2.9,1.0
298950,Dying Light,9.0,3.0
298950,FTL Faster Than Light,9.7,3.0
298950,Fallout 4,82.0,5.0
298950,Fallout New Vegas,92.0,5.0
298950,Far Cry 3,99.0,5.0
298950,Garry's Mod,6.2,2.0
298950,Hitman Absolution,14.3,4.0
298950,Hotline Miami,4.9,2.0
298950,Left 4 Dead 2,16.3,4.0
298950,METAL GEAR SOLID V THE PHANTOM PAIN,65.0,5.0
298950,Magicka,2.4,1.0
298950,Max Payne 3,3.4,1.0
298950,Metro 2033,8.9,3.0
298950,Metro Last Light,9.8,3.0
298950,Natural Selection 2,8.5,3.0
298950,Orcs Must Die! 2,9.2,3.0
298950,PAYDAY 2,3.4,1.0
298950,Portal 2,17.1,4.0
298950,Prison Architect,2.4,1.0
298950,RAGE,12.2,4.0
298950,Rocket League,49.0,5.0
298950,Rust,39.0,5.0
298950,Saints Row The Third,7.4,2.0
298950,Serious Sam 3 BFE,3.5,1.0
298950,Sid Meier's Civilization Beyond Earth,6.4,2.0
298950,Sid Meier's Civilization V,135.0,5.0
298950,Starbound,50.0,5.0
298950,Team Fortress 2,1019.0,5.0
298950,Terraria,86.0,5.0
298950,The Elder Scrolls V Skyrim,123.0,5.0
298950,The Forest,6.9,2.0
298950,The Walking Dead,13.7,4.0
298950,The Witcher 2 Assassins of Kings Enhanced Edition,40.0,5.0
298950,The Witcher 3 Wild Hunt,89.0,5.0
298950,Tomb Raider,12.5,4.0
298950,Torchlight,9.2,3.0
298950,Torchlight II,13.6,4.0
298950,Tropico 4,29.0,5.0
298950,Unturned,3.5,1.0
298950,XCOM Enemy Unknown,25.0,5.0
381543,Counter-Strike,3.0,1.0
547685,Counter-Strike,22.0,4.0
547685,Counter-Strike Global Offensive,489.0,5.0
554278,Call of Duty Black Ops II - Multiplayer,4.5,2.0
554278,Call of Duty Modern Warfare 2,6.2,2.0
554278,Counter-Strike Global Offensive,38.0,5.0
554278,Counter-Strike Source,216.0,5.0
554278,Half-Life 2,4.1,2.0
554278,Left 4 Dead 2,4.2,2.0
554278,War Thunder,7.4,2.0
561758,Alan Wake,7.2,2.0
561758,Battlefield Bad Company 2,20.0,4.0
561758,Borderlands,59.0,5.0
561758,Call of Duty Black Ops,8.6,3.0
561758,Call of Duty Black Ops - Multiplayer,76.0,5.0
561758,Call of Duty Black Ops II,75.0,5.0
561758,Call of Duty Black Ops II - Multiplayer,47.0,5.0
561758,Call of Duty Ghosts,6.2,2.0
561758,Call of Duty Ghosts - Multiplayer,32.0,5.0
561758,Call of Duty Modern Warfare 2,17.5,4.0
561758,Call of Duty Modern Warfare 2 - Multiplayer,51.0,5.0
561758,Call of Duty Modern Warfare 3 - Multiplayer,147.0,5.0
561758,Day of Defeat Source,4.4,2.0
561758,DayZ,2.8,1.0
561758,Half-Life 2,16.6,4.0
561758,Half-Life 2 Episode One,5.6,2.0
561758,Half-Life 2 Episode Two,13.7,4.0
561758,Killing Floor,14.3,4.0
561758,Left 4 Dead,8.2,3.0
561758,Left 4 Dead 2,26.0,5.0
561758,Mass Effect,13.7,4.0
561758,Metro 2033,16.9,4.0
561758,Portal,10.6,3.0
561758,Portal 2,33.0,5.0
561758,RAGE,46.0,5.0
561758,Serious Sam 3 BFE,11.9,3.0
561758,Sniper Elite V2,14.2,4.0
561758,Team Fortress 2,2.8,1.0
561758,The Elder Scrolls V Skyrim,8.6,3.0
561758,The Walking Dead,2.7,1.0
577614,Counter-Strike,36.0,5.0
622362,Counter-Strike,22.0,4.0
622362,Counter-Strike Global Offensive,35.0,5.0
622362,Team Fortress 2,12.7,4.0
683019,Counter-Strike Source,38.0,5.0
748719,Arma 2 Operation Arrowhead,5.9,2.0
748719,Batman Arkham Asylum GOTY Edition,6.9,2.0
748719,Borderlands 2,2.3,1.0
748719,Counter-Strike,13.6,4.0
748719,Counter-Strike Global Offensive,1329.0,5.0
748719,DayZ,40.0,5.0
748719,Dishonored,9.2,3.0
748719,Natural Selection 2,2.5,1.0
748719,Sid Meier's Civilization V,67.0,5.0
871990,Counter-Strike,3.0,1.0
871990,Counter-Strike Source,131.0,5.0
948368,Counter-Strike,5.2,2.0
948368,Counter-Strike Source,83.0,5.0
975449,Alan Wake,2.6,1.0
975449,Alien Swarm,9.8,3.0
975449,Amnesia The Dark Descent,26.0,5.0
975449,Assassin's Creed III,54.0,5.0
975449,Batman Arkham Asylum GOTY Edition,17.9,4.0
975449,Batman Arkham City GOTY,58.0,5.0
975449,Borderlands,10.7,3.0
975449,Call of Duty World at War,3.6,1.0
975449,Counter-Strike Global Offensive,36.0,5.0
975449,Counter-Strike Source,3.3,1.0
975449,Day of Defeat Source,4.1,2.0
975449,Dead Island,5.2,2.0
975449,Deus Ex Human Revolution,32.0,5.0
975449,Dota 2,54.0,5.0
975449,Empire Total War,30.0,5.0
975449,FTL Faster Than Light,2.7,1.0
975449,Half-Life 2,7.5,2.0
975449,Half-Life 2 Deathmatch,7.3,2.0
975449,Hotline Miami,11.6,3.0
975449,Just Cause 2,98.0,5.0
975449,Killing Floor,10.0,3.0
975449,Left 4 Dead,158.0,5.0
975449,Left 4 Dead 2,212.0,5.0
975449,Magicka,39.0,5.0
975449,Mass Effect,32.0,5.0
975449,Max Payne 3,13.6,4.0
975449,Metro 2033,12.3,4.0
